author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
А101;developer;https://www.cian.ru/sale/flat/306742602/;Апрелевка;sale;flat;2;12;5;149.3;35570170;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;68,9 м²;12,8 м²;+74951387175;;;5.1.1;Прокшино;Прокшино ЖК
UDS;developer;https://izhevsk.cian.ru/sale/flat/303259556/;Апрелевка;sale;flat;14;17;5;164.21;35550619;2024;-1;-1;-1;Предчистовая;-1;-1;+73412249014;Октябрьский;Пушкинская ;277;;Parus Corten
Риверхаус;developer;https://shchyolkovo.cian.ru/sale/flat/296810637/;Апрелевка;sale;flat;20;20;5;301.0;42441000;2023;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;288,8 м²;-1;+74951370495;;Советская ;60;Первомайская;River House
