author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Дипломат;developer;https://krym.cian.ru/sale/flat/292125016/;Апрелевка;sale;flat;8;8;5;460.7;207489920;2015;-1;-1;-1;Чистовая;223,6 м²;-1;+78632098730;;;;;Резиденция Дипломат
Мегаполис;developer;https://perm.cian.ru/sale/flat/297146990/;Апрелевка;sale;flat;6;9;5;132.8;31351158;2026;-1;-1;-1;Предчистовая;68,1 м²;17,5 м²;+73422308106;Ленинский;;;;Дом на Советской
Талан;developer;https://tyumen.cian.ru/sale/flat/294533352/;Апрелевка;sale;flat;1;9;5;88.1;9459100;2025;-1;-1;-1;Предчистовая;57 м²;5,1 м²;+73452658435;;;;;Ботаника
