author_type,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,street,house_number,underground
realtor,Москва,3.0,5.0,1.0,30.0,8390000.0,2021.0,28.3,8.0, Жемчужная,12.0,Филатов Луг
real_estate_agent,Москва,11.0,12.0,1.0,34.8,9350000.0,1966.0,19.9,9.7,Щелковское шоссе,32.0,Щёлковская
realtor,Москва,2.0,9.0,1.0,31.8,11990000.0,1962.0,21.5,5.2,Ельнинская ,12.0,Молодёжная
developer,Москва,7.0,35.0,1.0,39.22,18847239.0,2027.0,24.1,6.3,31/2,12.0,Профсоюзная
real_estate_agent,Москва,4.0,6.0,1.0,35.1,23000000.0,1902.0,28.3,10.0, Покровка,12.0,Курская
developer,Москва,15.0,67.0,1.0,47.5,47500000.0,2025.0,34.5,8.0,Краснопресненская набережная,12.0,Москва-Сити
homeowner,Москва,15.0,17.0,1.0,37.8,9000000.0,2015.0,19.0,7.2, Бианки,12.0,Рассказовка
developer,Москва,3.0,7.0,1.0,78.45,196125000.0,2026.0,19.1,29.7,Крестовоздвиженский переулок,4.0,Арбатская
real_estate_agent,Москва,16.0,17.0,1.0,30.5,6100000.0,2022.0,12.3,7.0, Яворки,12.0,Ватутинки
unknown,Москва,22.0,32.0,1.0,37.35,17780000.0,2023.0,28.3,10.0,Газгольдерная ,10.0,Нижегородская
realtor,Москва,5.0,12.0,1.0,33.5,14500000.0,1964.0,17.0,4.0,Ленинградский проспект,12.0,Динамо
realtor,Москва,8.0,22.0,1.0,40.0,13290000.0,2000.0,28.3,10.0, Верхние Поля,12.0,Люблино
realtor,Москва,14.0,25.0,1.0,39.0,19480000.0,-1.0,13.0,15.0, Ротмистрова,12.0,Октябрьское поле
developer,Москва,6.0,41.0,1.0,36.7,22431040.0,2027.0,14.2,13.4,Большая Тульская ,12.0,Тульская
real_estate_agent,Москва,10.0,19.0,1.0,60.0,27500000.0,-1.0,25.0,18.0,проспект Маршала Жукова,12.0,Народное Ополчение
real_estate_agent,Москва,10.0,34.0,1.0,64.4,51000000.0,2023.0,41.7,10.0,Поклонная ,9.0,Поклонная
developer,Москва,2.0,15.0,1.0,30.8,26977720.0,2027.0,28.3,10.0, Серпуховский Вал,12.0,Тульская
real_estate_agent,Москва,21.0,24.0,1.0,40.8,30000000.0,2022.0,25.8,10.0,Хорошевское шоссе,12.0,Полежаевская
real_estate_agent,Москва,24.0,49.0,1.0,43.9,27800000.0,2021.0,17.2,18.0, Лобачевского,12.0,Аминьевская
developer,Москва,23.0,26.0,1.0,35.67,21910000.0,2024.0,11.0,15.8, Академика Королева,21.0,Бутырская
real_estate_agent,Москва,33.0,41.0,1.0,46.0,21000000.0,2024.0,18.0,23.0,Шелепихинская набережная,12.0,Шелепиха
real_estate_agent,Москва,7.0,48.0,1.0,55.5,33000000.0,2024.0,27.0,7.7, Вильгельма Пика,12.0,Ботанический сад
developer,Москва,3.0,36.0,1.0,36.7,30916850.0,2027.0,28.3,10.0,Ленинградский проспект,12.0,Белорусская
homeowner,Москва,5.0,10.0,1.0,40.4,28900000.0,-1.0,21.5,8.2,Кутузовский проспект,30.0,Кутузовская
real_estate_agent,Москва,31.0,36.0,1.0,49.3,24990000.0,2019.0,25.3,19.0,Шелепихинская набережная,12.0,Шелепиха
developer,Москва,3.0,27.0,1.0,32.07,22210238.0,2027.0,18.1,10.0, Пресненский Вал,12.0,Белорусская
real_estate_agent,Москва,3.0,5.0,1.0,31.0,18500000.0,1958.0,28.3,10.0, Юлиуса Фучика,12.0,Маяковская
real_estate_agent,Москва,5.0,24.0,1.0,39.1,19800000.0,2005.0,28.3,12.0, Герасима Курина,18.0,Славянский бульвар
developer,Москва,49.0,66.0,1.0,44.6,44154000.0,2020.0,28.3,10.0,1-й Красногвардейский проезд,12.0,Москва-Сити
homeowner,Москва,3.0,17.0,1.0,38.0,13900000.0,2006.0,19.0,7.3,Вересковая ,12.0,Свиблово
real_estate_agent,Москва,12.0,28.0,1.0,45.2,20500000.0,2024.0,13.7,16.0,Автозаводская ,12.0,ЗИЛ
real_estate_agent,Москва,4.0,6.0,1.0,31.4,28500000.0,2023.0,15.0,6.3,Зубовская ,7.0,Парк Культуры
real_estate_agent,Москва,18.0,35.0,1.0,48.5,21700000.0,2022.0,25.5,18.0, Лобачевского,12.0,Аминьевская
developer,Москва,7.0,13.0,1.0,58.8,37642247.0,2024.0,45.1,8.7, Даниловский Вал,12.0,Тульская
real_estate_agent,Москва,5.0,21.0,1.0,48.4,21250000.0,2024.0,15.8,15.5,Щукинская ,3.0,Щукинская
real_estate_agent,Москва,21.0,22.0,1.0,39.0,11300000.0,1985.0,19.1,10.0,Алма-Атинская ,2.0,Алма-Атинская
real_estate_agent,Москва,3.0,14.0,1.0,43.5,12000000.0,1989.0,20.0,9.0, Перерва,12.0,Марьино
real_estate_agent,Москва,2.0,9.0,1.0,32.9,8900000.0,1971.0,21.0,6.0,Краснобогатырская ,12.0,Преображенская площадь
developer,Москва,6.0,13.0,1.0,85.04,130383328.0,2025.0,45.8,15.8,Садовая-Сухаревская ,14.0,Цветной бульвар
real_estate_agent,Москва,4.0,13.0,1.0,43.6,37500000.0,-1.0,14.0,16.8, Сергея Макеева,12.0,Улица 1905 года
real_estate_agent,Москва,15.0,15.0,1.0,40.6,11890000.0,2018.0,20.0,10.0,бульвар Веласкеса,12.0,Прокшино
developer,Москва,2.0,22.0,1.0,31.4,17903652.0,2025.0,28.3,10.0,Полковая ,12.0,Савёловская
real_estate_agent,Москва,4.0,7.0,1.0,33.56,5600000.0,2024.0,12.5,10.5, Луговая,12.0,Рассказовка
developer,Москва,15.0,22.0,1.0,37.5,22758750.0,2025.0,14.1,12.9,Жилой комплекс остров,3.0,Мнёвники
realtor,Москва,2.0,9.0,1.0,32.2,8100000.0,1970.0,20.0,6.0,Днепропетровская ,12.0,Южная
developer,Москва,6.0,50.0,1.0,49.3,25621210.0,2027.0,14.1,17.9,м. Мичуринский проспект,12.0,Мичуринский проспект
developer,Москва,2.0,11.0,1.0,32.6,7731089.0,2027.0,9.5,10.0,Зеленоград,12.0,Зеленоград — Крюково
real_estate_agent,Москва,2.0,2.0,1.0,15.1,8300000.0,1900.0,8.1,2.0,Гороховский переулок,12.0,Курская
developer,Москва,6.0,28.0,1.0,37.9,8318291.0,2027.0,9.2,14.0,Зеленоград,6.5,Зеленоград — Крюково
developer,Москва,1.0,8.0,1.0,34.2,8379000.0,2024.0,10.7,15.7, Корнейчука,27.0,Алтуфьево
developer,Москва,6.0,14.0,1.0,34.8,8509643.0,2026.0,11.4,14.8,к3.5,12.0,Окружная
developer,Москва,2.0,28.0,1.0,40.8,8696764.0,2027.0,9.1,16.6,Зеленоград,6.5,Зеленоград — Крюково
developer,Москва,2.0,23.0,1.0,28.1,9198001.0,2026.0,21.1,2.0,Сигнальный проезд,12.0,Владыкино
developer,Москва,6.0,28.0,1.0,30.6,9210600.0,2025.0,28.3,10.2,Отрадная ,12.0,Отрадное
homeowner,Москва,8.0,9.0,1.0,56.0,9200000.0,2018.0,20.1,23.0, Семена Гордого,1.0,Крёкшино
