author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ЛСР;developer;https://www.cian.ru/sale/flat/303230592/;Москва;sale;flat;3;24;1;33.1;10468139;2027;-1;Монолитный;-1;Без отделки, чистовая, чистовая с мебелью;21,2 м²;5,3 м²;+74951370087;Солнцево;Производственная ;;Солнцево;Лучи
А101;developer;https://www.cian.ru/sale/flat/306737553/;Москва;sale;flat;10;16;1;37.7;10543053;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;13,4 м²;12,3 м²;+74951379021;;м. Бунинская аллея;;Бунинская аллея;Скандинавия
ПИК;developer;https://www.cian.ru/sale/flat/306291201/;Москва;sale;flat;2;17;1;35.9;10542250;2025;-1;Панельный, монолитный;-1;Чистовая;10,4 м²;18,2 м²;+74951387148;Люблино;14.2;14.2;Братиславская;Люблинский парк ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306979948/;Москва;sale;flat;21;24;1;43.0;10497374;2026;-1;Панельный;-1;Предчистовая, чистовая;22,3 м²;13,5 м²;+74951387084;Тимирязевский;к3.6;к3.6;Окружная;Большая Академическая 85 ЖК
;;https://www.cian.ru/sale/flat/307197040/;Москва;sale;flat;16;19;1;35.3;10646444;2025;-1;-1;-1;-1;-1;-1;+78005116552;;;;Рассказовка;Городские Истории ЖК
