author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Трансстройинвест;developer;https://www.cian.ru/sale/flat/306658027/;Москва;sale;flat;2;24;1;43.5;17768630;2025;-1;-1;-1;Без отделки;-1;18,5 м²;+74997094944;Очаково-Матвеевское;Мичуринский проспект;72А;Озёрная;ОМ
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/307257825/;Москва;sale;flat;11;12;1;61.3;38000000;2019;-1;-1;-1;-1;-1;10 м²;+79660515680;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
Парадайс;real_estate_agent;https://www.cian.ru/sale/flat/306546518/;Москва;sale;flat;11;12;1;30.0;8000000;-1;-1;-1;-1;-1;10 м²;12 м²;+79660530610;; Логинова;5к1;Щербинка;Остафьево
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/299010726/;Москва;sale;flat;4;4;1;37.0;37400000;-1;-1;-1;-1;-1;29 м²;-1;+79854621515;Мещанский; Кузнецкий Мост;19С1;Кузнецкий мост;
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/306867070/;Москва;sale;flat;16;36;1;41.1;31500000;2021;-1;-1;-1;-1;23 м²;5 м²;+79645380675;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
