author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Самолет;developer;https://www.cian.ru/sale/flat/308966416/;Москва;sale;flat;8;9;1;38.93;8474477;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;25,4 м²;4,3 м²;+74951378825;;;к28;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/308648848/;Москва;sale;flat;8;10;1;32.81;8442912;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;10,6 м²;14,9 м²;+74951374063;;;к18;Щербинка;Остафьево ЖК
Plus Development;developer;https://www.cian.ru/sale/flat/309008641/;Москва;sale;flat;7;23;1;37.4;8406398;2026;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, чистовая;14,2 м²;11,9 м²;+74951370084;;;;Филатов Луг;Детали ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306987607/;Москва;sale;flat;9;17;1;36.0;8535024;2024;-1;Монолитный;-1;Чистовая;10,6 м²;18,1 м²;+74951370485;;;1.2;Щербинка;Юнино ЖК
