author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
3SGroup;developer;https://www.cian.ru/sale/flat/304854219/;Москва;sale;flat;2;17;1;38.6;10285935;2026;-1;-1;-1;Без отделки;13,5 м²;20,1 м²;+74951374320;;;;Корниловская;FOREVILLE
INGRAD;developer;https://www.cian.ru/sale/flat/304079914/;Москва;sale;flat;19;22;1;37.4;10295795;2026;-1;-1;-1;Без отделки;-1;10,2 м²;+74951387136;;;к6;Филатов Луг;Филатов Луг ЖК
1-й ДСК;developer;https://www.cian.ru/sale/flat/308023549/;Москва;sale;flat;2;18;1;31.9;10335600;2026;-1;Панельный, монолитный;-1;Предчистовая, чистовая;11,9 м²;10,2 м²;+74951387168;;;;;1-й Ясеневский
Самолет;developer;https://www.cian.ru/sale/flat/308650619/;Москва;sale;flat;2;6;1;46.6;10358554;2024;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;14,6 м²;18,4 м²;+74997153345;;;3;Рассказовка;Квартал Западный ЖК
