author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Аркада Крым;developer;https://krym.cian.ru/sale/flat/303910651/;Апрелевка;sale;flat;10;12;2;45.0;6850000;2027;-1;-1;-1;Без отделки;21,9 м²;14,4 м²;+78632251871;;;;;Солнечный Парк
Центральное;real_estate_agent;https://elektrostal.cian.ru/sale/flat/305278914/;Апрелевка;sale;flat;9;10;2;49.8;6950000;1996;-1;-1;-1;-1;30 м²;8 м²;+79057159228;мкр. Северный;Ногинское шоссе;12;;
Стрижи;developer;https://novosibirsk.cian.ru/sale/flat/303023233/;Апрелевка;sale;flat;8;18;2;37.2;6950000;2024;-1;Монолитно-кирпичный;-1;Предчистовая;8,7 м²;16 м²;+73832095737;Заельцовский; Аэропорт;49/2;Заельцовская;Нормандия-Неман
Парангон;developer;https://krym.cian.ru/sale/flat/298570331/;Апрелевка;sale;flat;2;8;2;43.69;8352654;2026;-1;-1;-1;Без отделки;-1;-1;+78632251989;;;;;Новая Керкинитида
ID 12876723;representative_developer;https://penza.cian.ru/sale/flat/297717491/;Апрелевка;sale;flat;4;16;2;75.72;8279920;2025;-1;Монолитно-кирпичный;-1;Без отделки;-1;-1;+78412596120;Ленинский;Памятник Победы мкр;;;Тимирязевский
