author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
CENTURY 21 Перспектива;real_estate_agent;https://balashikha.cian.ru/sale/flat/308555998/;Балашиха;sale;flat;4;18;1;39.0;6250000;2015;-1;-1;-1;-1;18 м²;8,2 м²;+79031221852;; Маяковского;26;Железнодорожная;
Самолет;developer;https://balashikha.cian.ru/sale/flat/308721950/;Балашиха;sale;flat;7;22;1;43.76;7201365;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, черновая, чистовая;22,2 м²;12,9 м²;+74997154380;;;;Некрасовка;Новоград Павлино
Самолет;developer;https://balashikha.cian.ru/sale/flat/308650770/;Балашиха;sale;flat;15;22;1;43.37;7319165;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, черновая, чистовая;11,3 м²;22,2 м²;+74997154380;;;к7;Некрасовка;Новоград Павлино
